,code_player,dreamteam_count,form,in_dreamteam,now_cost,photo,points_per_game,selected_by_percent,status,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,full_name,id_player,club_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,singular_name,squad_select,squad_min_play,squad_max_play,event_next_first,team,team_h_difficulty_next_first,team_a_difficulty_next_first,h_a_next_first,next_1,event_next_second,team_h_difficulty_next_second,team_a_difficulty_next_second,h_a_next_second,next_2,event_third,team_h_difficulty_third,team_a_difficulty_third,h_a_third,next_3,points_by_diff
0,80201,0,0.0,False,4.8,80201,1.3,1.2,a,4,53147,666,142621,3968,0.0,0.8,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,172,20,546,55,531,52,287,20,Bernd Leno,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Goalkeeper,2,1,1,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.65
1,115918,0,0.0,False,4.0,115918,0.0,0.9,u,0,19017,0,51953,1389,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,419,37,405,18,363,14,425,37,Rúnar Alex Rúnarsson,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Goalkeeper,2,1,1,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.0
2,463748,0,0.0,False,4.0,463748,0.0,0.6,a,0,40163,576,13917,694,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,444,47,430,28,390,24,450,47,Karl Hein,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Goalkeeper,2,1,1,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.0
3,225321,0,6.0,False,4.6,225321,6.0,4.6,a,24,389391,74630,45956,4669,1.3,5.2,Ramsdale,360,0,0,3,1,0,0,0,0,0,9,2,94,70.2,0.0,0.0,7.0,191,23,544,54,527,51,303,23,Aaron Ramsdale,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Goalkeeper,2,1,1,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,3.0
4,220682,0,0.0,False,4.0,220682,0.0,0.1,a,0,10922,202,3762,221,0.0,0.0,Okonkwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,427,40,413,21,372,17,433,40,Arthur Okonkwo,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Goalkeeper,2,1,1,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.0
5,47431,0,0.0,False,6.3,47431,0.0,0.1,u,0,914,0,19606,129,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,607,248,606,248,605,248,607,248,Willian Borges Da Silva,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Midfielder,5,2,5,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.0
6,84450,0,0.5,False,4.9,84450,1.0,0.4,i,4,16375,48,71138,1427,0.1,0.8,Xhaka,295,0,0,0,10,0,0,0,0,1,0,0,35,42.2,53.2,9.0,10.4,271,106,142,85,285,153,253,117,Granit Xhaka,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Midfielder,5,2,5,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.5
7,153256,0,0.0,False,4.5,153256,1.0,0.4,a,1,16376,583,44632,1091,0.0,0.2,Elneny,45,0,0,0,2,0,0,0,0,0,0,0,2,3.4,0.3,0.0,0.4,376,171,372,181,458,179,392,180,Mohamed Naser El Sayed Elneny,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Midfielder,5,2,5,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.5
8,154043,0,1.5,False,5.3,154043,1.4,0.1,a,7,1631,98,5134,149,0.3,1.3,Maitland-Niles,119,0,0,1,1,0,0,0,0,0,0,0,21,20.6,27.9,8.0,5.7,311,132,217,126,296,158,317,144,Ainsley Maitland-Niles,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Midfielder,5,2,5,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.7
9,167199,0,1.8,False,5.0,167199,1.8,0.2,a,7,16125,1299,9790,985,0.4,1.4,Partey,282,0,0,2,1,0,0,0,2,0,0,0,31,38.4,54.3,35.0,12.8,280,111,140,84,194,101,230,105,Thomas Partey,1,Arsenal,4,1190,1220,1110,1140,1100,1170,Midfielder,5,2,5,8,Arsenal,2.0,4,h,Crystal Palace,9,3,4,h,Aston Villa,10,3,3,a,Leicester,0.9
